samling_nid,samling_tittel,lenketekst,href,format,maal_nid,maal_type,maal_publisert,finnes
16073,Tipsliste til KRØ 3. og 4. trinn,Bevegelses-bingo,https://trivselsleder.no/bevegelsesbingo,full-adresse,1689,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Dansesisten,https://trivselsleder.no/dansesisten,full-adresse,1388,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Stjerne-gevinsten,https://trivselsleder.no/stjernegevinsten,full-adresse,10125,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Soppball,https://trivselsleder.no/soppball,full-adresse,8858,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Bil og garasje,https://trivselsleder.no/bil-og-garasje,full-adresse,1040,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Oppdraget,https://trivselsleder.no/oppdraget,full-adresse,10173,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Brennende lavastein,https://trivselsleder.no/brennende-lavastein,full-adresse,1135,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,"Indiana Jones ""Mini""",https://trivselsleder.no/indiana-jones-mini,full-adresse,13630,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Klokka,https://trivselsleder.no/klokka-klokken,full-adresse,13632,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Levende fotballmål,https://trivselsleder.no/levende-fotballmal,full-adresse,14738,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Treeren,https://trivselsleder.no/treeren,full-adresse,13634,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Jaktlag,https://trivselsleder.no/jaktlag,full-adresse,8857,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Supermusa,https://trivselsleder.no/supermusa,full-adresse,13623,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Da Vinci-koden - geometriske figurer,https://trivselsleder.no/da-vinci-koden-geometriske-figurer,full-adresse,2947,atlu,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Atomleken,https://trivselsleder.no/atomleken-0,full-adresse,2921,atlu,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Sjiraffen,https://trivselsleder.no/sjiraffen,full-adresse,1054,game,ja,ja
16073,Tipsliste til KRØ 3. og 4. trinn,Alle som..,https://trivselsleder.no/alle-som,full-adresse,1431,game,ja,ja
20030,Kursmodul høst 2026,Minuttball,https://trivselsleder.no/minuttball-0,full-adresse,20063,game,ja,ja
20030,Kursmodul høst 2026,Slottstriden,https://trivselsleder.no/slottstriden,full-adresse,20064,game,ja,ja
20030,Kursmodul høst 2026,Sirkelsprett,https://trivselsleder.no/sirkelsprett,full-adresse,20065,game,ja,ja
20030,Kursmodul høst 2026,Bikuben,https://trivselsleder.no/bikuben,full-adresse,20066,game,ja,ja
20030,Kursmodul høst 2026,Flyvende farger,https://trivselsleder.no/flyvende-farger-0,full-adresse,20067,game,ja,ja
