tittel,type,filtype,spraak,tilleggsmateriale,hvilken_lek
"Presentasjon Kjartan Eide, TL-seminar 2018",Seminar,pdf,nb,nei,
"Aktiv læring, kurshefte modul 4 barneskole",Aktiv læring | Kurshefter,pdf,nb,nei,
Hva skal ut? - veiledende fasit,Aktiv læring,pdf,nb | nn | en,nei,Hva skal ut?
Rettskriving og glosestafett: The Commonwealth of Nations (u.trinn),Aktiv læring,pdf,nb | nn,nei,Rettskriving og glosestafett på engelsk
Magisk firkant - løsninger,Aktiv læring,pdf,nb | nn,nei,Magiske figurer (ungdomsskole)
A4 beskrivelser 2018 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
A4 beskrivelser 2018 høst (ungdomsskole),Lekeplakater/A4-beskrivelser,pdf,nb,nei,
"TL ungdom lederutdanning, elevhefte",Ungdomsskole | Lederutdanning,pdf,nb,nei,
Kurshefte 2018 høst barneskole,Kurshefter,pdf,nb,nei,
Kurshefte 2018 høst ungdomsskole,Kurshefter,pdf,nb,nei,
"Information to parents, primary school",Drift av TL | Informasjon til foresatte,pdf,en,nei,
"Aktiv læring, kurshefte modul 5 barneskole",Aktiv læring | Kurshefter,pdf,nb,nei,
"TL ungdom lederutdanning, veiledning for TL-ansvarlige",Ungdomsskole | Lederutdanning,pdf,nb,nei,
Information about the program,Drift av TL | Informasjon,pdf,en,nei,
Nomination form - English,"Drift av TL | Nominasjon, søknad og advarsel | Nominasjon",pdf,en,nei,
Elevpresentasjon 4.-7.trinn/Student presentation 4.-7. grade,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,en,nei,
"Activity plan, primary school",Tips og plakater | Periodeplan,docx,en,nei,
"Activity plan, secondary school",Tips og plakater | Periodeplan,docx,en,nei,
Hvordan implementere Aktiv læring?,Aktiv læring | Informasjon,pdf,nb,nei,
"Aktiv læring, kurshefte modul 3 ungdomsskole",Aktiv læring | Kurshefter,pdf,nb,nei,
Kurshefte 2019 vinter/vår Barneskole,Kurshefter,pdf,nb,nei,
Kurshefte TL-Mester 2019,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,Tipsliste TL-Mester
Diplom for turneringer INTERAKTIV,Turneringer og TL-Mester | Turneringer,pdf,nb,nei,
"Moonball Challenge, utfordringer",Tilleggsmateriale til leker,pdf,nb,ja,
A4 beskrivelser 2019 vinter,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
A4 beskrivelser 2019 vinter TL-Mester (ungdomsskole),Lekeplakater/A4-beskrivelser | Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
"Move it: Tillegg til leken ""Terningen""",Lek og aktivitet | Move-it,pdf,nb,nei,
Move it: Lekehefte,Lek og aktivitet | Move-it,pdf,nb,nei,
Move it: Plakat,Tips og plakater | Plakater | Lek og aktivitet | Move-it,pdf,nb | nn,nei,
TL-logo EPS,TL-logo,eps/ps,nb | nn | en,nei,
Trivselsleder logo PNG,TL-logo,png,nb | nn | en,nei,
Trivselsleder logo JPG,TL-logo,jpg,nb | nn | en,nei,
TL-logo JPG,TL-logo,jpg,nb | nn | en,nei,
ALIAS MED FØLELSER Kort,Aktiv læring,pdf,nb,nei,
Bingobrett 1 med bilder,Tilleggsmateriale til leker,pdf,nb | nn | en,ja,Bildestafett
BEVEGELSESBINGO (brett og bilder),Tilleggsmateriale til leker,pdf,nb,ja,Bevegelsesbingo | Aktivitetssirkel
Verdisamling VENNSKAP voksen,Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: VENNSKAP
Verdisamling VENNSKAP Barn,Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: VENNSKAP
TP-tavle instruksjon ,Trivselspatruljen | Drift av TP,pdf,nb,nei,
Patruljebevis TP,Trivselspatruljen | Drift av TP,pdf,nb,nei,
Verdisamling FORSKJELLIGHET voksen,Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: FORSKJELLIGHET 
verdisamling FORSKJELLIGHET barn,Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: FORSKJELLIGHET 
Verdisamling FORSKJELLIGHET plakat ,Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: FORSKJELLIGHET 
Verdisamling FORSKJELLIGHET Bok (Verdens vakreste egg),Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: FORSKJELLIGHET 
Verdisamling FORSKJELLIGHET såpebobler,Trivselspatruljen | Verdisamlinger,jpg,nb,nei,Verdisamling: FORSKJELLIGHET 
Verdisamling TRIVSEL voksen,Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: TRIVSEL 
Verdisamling TRIVSEL barn,Trivselspatruljen | Verdisamlinger,pdf,nb,nei,Verdisamling: TRIVSEL 
TP-Utstyrsbodplakat for utfylling,Trivselspatruljen | Drift av TP,pdf,nb,nei,
TP Programbeskrivelse,Trivselspatruljen | Drift av TP,pdf,nb,nei,
TP dans,Trivselspatruljen | Drift av TP,pdf,nb,nei,
TP Info brosjyre 2019,Trivselspatruljen | Informasjon,pdf,nb,nei,
TP-Lekemanual ,Trivselspatruljen | Informasjon,pdf,nb,nei,
TP-Diplom,Trivselspatruljen | Drift av TP,pdf,nb,nei,
Picture and word bingo - summer,Aktiv læring,pdf,nb | nn | en,nei,Picture and word bingo - Everyday vocabulary
Kurshefte 2019 høst,Kurshefter,pdf,nb,nei,Returball | Tvert om | Bevegelsesbingo | StreetRacket - Streetking | TL-battle 2.0
A4 beskrivelser 2019 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,Returball | Tvert om | Bevegelsesbingo | StreetRacket - Streetking | TL-battle 2.0
Informasjon om kulturkortet,Informasjon om kulturkort,pdf,nb,nei,
TP-kurs 1: KURSHEFTE,Trivselspatruljen | Kurshefter,pdf,nb,nei,Pelikan og pingvin | Signalet | Lokomotivet | Tagball | Limbo | TP- Bowling | TP-bingo | Slangesisten
TP-kurs 1: Lekebeskrivelser,Trivselspatruljen | Informasjon,pdf,nb,nei,Pelikan og pingvin | Signalet | Lokomotivet | Tagball | Limbo | TP- Bowling | TP-bingo | Slangesisten
TP-kurs A4 tall 1-10,Trivselspatruljen | Drift av TP,pdf,nb,nei,
TP-Bingo: BINGOBRETT,Tilleggsmateriale til leker,pdf,nb,ja,TP-bingo
TP-Bingo: BILDER,Tilleggsmateriale til leker,pdf,nb,ja,TP-bingo
BEVEGELSESBINGO (REDIGERBAR),Tilleggsmateriale til leker,pdf,nb,ja,Bevegelsesbingo
Stikkord for samtale med Trivselspatruljen,Trivselspatruljen | Drift av TP,pdf,nb,nei,
Turneringsskjema (interaktiv),Turneringer og TL-Mester | Turneringer,pdf,nb | nn,nei,
Kurshefte 2020 vår,Kurshefter,pdf,nb,nei,
A4 beskrivelser 2020 vinter/vår ,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Aktivitetsplan til hjemmeundervisning i kroppsøving,Ukeplaner med lek,pdf,nb,nei,
Skjema for yogaøvelser,Tilleggsmateriale til leker,pdf,nb,ja,Terningyoga
Test,Aktiv læring,pdf,nb,nei,1000 up
"Alfabetspurten, Bokstaver",Aktiv læring,pdf,nb,nei,Alfabetspurten
"Alfabetspurten, Ordkort",Aktiv læring,pdf,nb,nei,Alfabetspurten
"Alfabetspurten, Ordkort REDIGERBAR",Aktiv læring,pdf,nb,nei,Alfabetspurten
"Løp et ord, Bokstaver",Aktiv læring,pdf,nb,nei,Løp et ord
"Løp et ord, Kort med ord (1. - 2. trinn)",Aktiv læring,pdf,nb,nei,Løp et ord
"Løp et ord, Kort med ord REDIGERBAR",Aktiv læring,pdf,nb,nei,Løp et ord
"Løp et ord, Kort med ord (3. - 4. trinn)",Aktiv læring,pdf,nb,nei,Løp et ord
"Rettskrivingsstafett, Kort med ord (1. - 2. trinn)",Aktiv læring,pdf,nb,nei,Rettskrivingsstafett
"Rettskrivingsstafett, Kort med ord (5. - 7. trinn)",Aktiv læring,pdf,nb,nei,Rettskrivingsstafett
"Rettskrivingsstafett, Kort med ord REDIGERBAR",Aktiv læring,pdf,nb,nei,Rettskrivingsstafett
Sorteringsbingo redigerbar,Aktiv læring,pdf,nb | nn | en,nei,Sorteringsbingo (malbasert) | Sorteringsbingo om religioner (malbasert) | Sorteringsbingo: Kildesortering (malbasert)
Sorteringsbingo om kildesortering,Aktiv læring,pdf,nb,nei,Sorteringsbingo (malbasert) | Sorteringsbingo: Kildesortering (malbasert)
Kunnskapsbattle engelske sterke verb,Aktiv læring,pdf,nb | nn | en,nei,Kunnskapsbattle sterke verb | Kunnskapsbattle (malbasert)
Kunnskapsbattle addisjon,Aktiv læring,pdf,nb | nn | en,nei,Kunnskapsbattle med addisjon | Kunnskapsbattle (malbasert)
Kunnskapsbattle ordklasser,Aktiv læring,pdf,nb,nei,Kunnskapsbattle med ordklasser | Kunnskapsbattle (malbasert)
Quiz-bomben redigerbar,Aktiv læring,pdf,nb | nn | en,nei,"Quiz-bomben om fordøyelsessystemet (malbasert) | Quiz-bomben om kristne høytider (malbasert) | Quiz-bomben om kultur, identitet og symboler (malbasert) | Quiz-bomben (malbasert)"
Quiz-bomben om fordøyelsessystemet,Aktiv læring,pdf,nb,nei,Quiz-bomben om fordøyelsessystemet (malbasert) | Quiz-bomben (malbasert)
Quiz-bomben om kristne høytider,Aktiv læring,pdf,nb,nei,Quiz-bomben om kristne høytider (malbasert) | Quiz-bomben (malbasert)
"Quiz-bomben om kultur, identitet og symboler",Aktiv læring,pdf,nb,nei,"Quiz-bomben om kultur, identitet og symboler (malbasert) | Quiz-bomben (malbasert)"
Aball-tyven redigerbar,Aktiv læring,pdf,nb,nei,Aball-tyven med ordklasser (malbasert) | Aball-tyven med høyfrekvente ord (malbasert) | Aball-tyven med rimord (malbasert) | Aball-tyven
Aball-tyven med høyfrekvente ord,Aktiv læring,pdf,nb,nei,Aball-tyven med høyfrekvente ord (malbasert) | Aball-tyven
Aball-tyven med ordklasser,Aktiv læring,pdf,nb,nei,Aball-tyven med ordklasser (malbasert) | Aball-tyven
Aball-tyven med rimord,Aktiv læring,pdf,nb,nei,Aball-tyven med rimord (malbasert) | Aball-tyven
Sorteringsbingo om religioner,Aktiv læring,pdf,nb,nei,Sorteringsbingo (malbasert) | Sorteringsbingo om religioner (malbasert)
Assosiasjonsruletten om religion & livssyn,Aktiv læring,pdf,nb,nei,Assosiasjonsruletten (malbasert) | Assosiasjonsruletten om religion & livssyn (malbasert)
Assosiasjonsruletten redigerbar,Aktiv læring,pdf,nb | nn | en,nei,Assosiasjonsruletten (malbasert) | Assosiasjonsruletten om religion & livssyn (malbasert)
Jeopardyblink om kjemiske stoffer,Aktiv læring,pdf,nb,nei,Jeopardyblink om kjemiske stoffer (malbasert) | Jeopardyblink (malbasert)
Jeopardyblink fargekort,Aktiv læring,pdf,nb | nn | en,nei,Jeopardyblink om kjemiske stoffer (malbasert) | Jeopardyblink med historie (malbasert) | Jeopardyblink (malbasert)
Jeopardyblink med historie,Aktiv læring,pdf,nb,nei,Jeopardyblink med historie (malbasert) | Jeopardyblink (malbasert)
"Jeopardyblink, redigerbar",Aktiv læring,pdf,nb,nei,Jeopardyblink om kjemiske stoffer (malbasert) | Jeopardyblink med historie (malbasert) | Jeopardyblink (malbasert)
Magisk trekant - løsninger,Aktiv læring,pdf,nb | nn,nei,Magiske figurer (ungdomsskole) | Magiske figurer (barneskole)
Alias - havet og kysten,Aktiv læring,pdf,nb,nei,Alias (malbasert) | Alias: Havet og kysten
Alias - vær og klima,Aktiv læring,pdf,nb,nei,Alias (malbasert) | Alias: Vær og klima
